"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-21 16:45:12.453","2"
"2024-03-21 16:46:30.176","3"
"2024-03-21 16:46:35.188","6"
"2024-03-21 16:48:30.477","7"
"2024-03-21 16:48:33.485","2"
"2024-03-21 16:49:21.264","3"
"2024-03-21 16:49:26.274","6"
"2024-03-21 16:49:41.317","7"
"2024-03-21 16:49:46.326","2"
"2024-03-21 16:50:06.362","7"
"2024-03-21 16:50:07.362","2"
"2024-03-21 16:50:49.468","3"
"2024-03-21 16:50:50.473","6"
"2024-03-21 16:51:02.495","7"
"2024-03-21 16:51:09.508","2"
"2024-03-21 16:53:19.262","6"
"2024-03-21 16:54:02.347","7"
"2024-03-21 16:54:07.356","2"
"2024-03-21 16:54:11.364","6"
"2024-03-21 16:54:41.597","7"
"2024-03-21 16:54:47.609","2"
"2024-03-21 16:55:34.289","6"
"2024-03-21 16:56:37.418","7"
"2024-03-21 16:56:44.434","2"
"2024-03-21 16:57:05.492","6"
"2024-03-21 16:58:09.619","7"
"2024-03-21 16:58:12.628","2"
"2024-03-21 17:01:50.501","6"
"2024-03-21 17:02:52.650","7"
"2024-03-21 17:02:56.661","2"
"2024-03-21 17:14:31.074","6"
"2024-03-21 17:15:32.254","7"
"2024-03-21 17:15:38.808","2"
"2024-03-21 17:15:58.658","6"
"2024-03-21 17:17:00.292","7"
"2024-03-21 17:17:06.804","2"
"2024-03-21 17:19:35.127","6"
"2024-03-21 17:20:35.933","2"
"2024-03-21 17:25:15.294","3"
"2024-03-21 17:25:16.796","6"
"2024-03-21 17:25:36.842","7"
"2024-03-21 17:25:39.845","2"
"2024-03-21 17:26:14.916","6"
"2024-03-21 17:27:16.042","7"
"2024-03-21 17:27:21.050","2"
"2024-03-21 17:28:45.097","6"
"2024-03-21 17:29:46.231","7"
"2024-03-21 17:29:49.238","2"
"2024-03-21 17:34:21.240","6"
"2024-03-21 17:35:16.360","7"
"2024-03-21 17:35:19.387","2"
"2024-03-21 17:36:06.102","6"
"2024-03-21 17:37:53.406","7"
"2024-03-21 17:38:02.428","2"
"2024-03-21 17:38:32.986","6"
"2024-03-21 17:38:48.022","7"
"2024-03-21 17:38:56.038","6"
"2024-03-21 17:39:35.132","7"
"2024-03-21 17:39:38.205","2"
"2024-03-21 17:51:32.324","3"
"2024-03-21 17:51:34.328","6"
"2024-03-21 17:51:35.330","2"
"2024-03-21 17:51:36.333","6"
"2024-03-21 17:51:44.365","7"
"2024-03-21 17:51:45.366","2"
"2024-03-21 17:53:04.520","3"
"2024-03-21 17:53:07.528","6"
"2024-03-21 17:54:17.662","7"
"2024-03-21 17:54:20.165","2"
"2024-03-21 17:55:07.263","3"
"2024-03-21 17:55:12.275","6"
"2024-03-21 17:57:27.198","7"
"2024-03-21 17:57:31.204","2"
"2024-03-21 18:36:02.591","3"
"2024-03-21 18:36:05.595","6"
"2024-03-21 18:41:27.384","7"
"2024-03-21 18:41:29.389","2"
"2024-03-21 18:43:13.292","3"
"2024-03-21 18:43:15.296","6"
"2024-03-21 18:46:05.725","7"
"2024-03-21 18:46:11.739","2"
"2024-03-21 18:46:29.775","6"
"2024-03-21 18:50:08.072","7"
"2024-03-21 18:50:12.093","2"
"2024-03-21 18:53:47.720","6"
"2024-03-21 18:57:05.116","7"
"2024-03-21 18:57:13.129","2"
"2024-03-21 18:57:47.196","6"
"2024-03-21 19:00:50.812","7"
"2024-03-21 19:00:56.823","2"
"2024-03-21 19:02:44.924","6"
"2024-03-21 19:04:17.214","7"
"2024-03-21 19:04:20.221","6"
"2024-03-21 19:04:44.766","7"
"2024-03-21 19:04:47.772","2"
"2024-03-21 19:08:19.849","3"
"2024-03-21 19:08:21.856","6"
"2024-03-21 19:08:39.891","7"
"2024-03-21 19:08:43.900","2"
"2024-03-21 19:08:50.912","3"
"2024-03-21 19:08:53.919","2"
"2024-03-21 19:09:46.026","3"
"2024-03-21 19:09:48.030","6"
"2024-03-21 19:13:18.808","7"
"2024-03-21 19:13:22.819","2"
"2024-03-21 19:13:43.045","6"
"2024-03-21 19:16:44.081","2"
"2024-03-21 19:17:11.129","3"
"2024-03-21 19:17:12.134","6"
"2024-03-21 19:20:22.044","7"
"2024-03-21 19:20:24.046","2"
"2024-03-21 19:21:00.121","3"
"2024-03-21 19:21:04.126","6"
"2024-03-21 19:21:37.201","7"
"2024-03-21 19:21:42.211","2"
"2024-03-21 19:21:47.224","3"
"2024-03-21 19:21:50.229","6"
"2024-03-21 19:21:59.753","2"
"2024-03-21 19:22:47.850","3"
"2024-03-21 19:22:49.854","6"
"2024-03-21 19:25:22.788","7"
"2024-03-21 19:25:31.809","2"
"2024-03-21 19:26:15.207","6"
"2024-03-21 19:28:41.103","7"
"2024-03-21 19:28:46.117","2"
"2024-03-21 19:29:02.846","6"
"2024-03-21 19:31:07.089","7"
"2024-03-21 19:31:17.108","2"
"2024-03-21 19:32:00.788","6"
"2024-03-21 19:34:44.887","7"
"2024-03-21 19:34:54.903","2"
"2024-03-21 19:35:42.225","6"
"2024-03-21 19:38:26.103","7"
"2024-03-21 19:38:36.117","2"
"2024-03-21 19:40:29.079","6"
"2024-03-21 19:42:10.376","7"
"2024-03-21 19:42:19.890","2"
"2024-03-21 19:43:04.996","6"
"2024-03-21 19:44:45.221","7"
"2024-03-21 19:44:54.303","2"
"2024-03-21 19:48:01.269","6"
"2024-03-21 19:49:40.120","7"
"2024-03-21 19:49:50.139","2"
"2024-03-21 19:50:45.253","6"
