"id","time","previous","difference","productionLineName","seats","spacers"
35326,"2024-03-08 00:28:09.060353+00","2024-03-08 00:15:31.789078+00","00:12:37.271275","25",False,False
35953,"2024-03-14 04:29:30.812804+00","2024-03-14 04:16:44.279183+00","00:12:46.533621","25",False,False
35172,"2024-03-07 06:49:46.128144+00","2024-03-07 06:36:34.59334+00","00:13:11.534804","25",False,False
35485,"2024-03-11 18:01:16.507153+00","2024-03-11 17:47:50.621717+00","00:13:25.885436","25",False,False
35380,"2024-03-08 17:31:44.595062+00","2024-03-08 17:18:03.822868+00","00:13:40.772194","25",False,False
35930,"2024-03-14 01:21:32.147124+00","2024-03-14 01:07:31.525541+00","00:14:00.621583","25",False,False
35984,"2024-03-14 12:27:38.500763+00","2024-03-14 12:13:37.723108+00","00:14:00.777655","25",False,False
35388,"2024-03-08 19:07:44.594616+00","2024-03-08 18:53:36.553004+00","00:14:08.041612","25",False,False
35363,"2024-03-08 05:33:13.548655+00","2024-03-08 05:18:23.29154+00","00:14:50.257115","25",False,False
35932,"2024-03-14 01:44:24.039246+00","2024-03-14 01:28:44.594166+00","00:15:39.44508","25",False,False
35247,"2024-03-07 16:42:54.480012+00","2024-03-07 16:27:11.681745+00","00:15:42.798267","25",False,False
35850,"2024-03-13 15:58:34.200087+00","2024-03-13 15:41:22.973188+00","00:17:11.226899","25",False,False
35867,"2024-03-13 18:32:37.868997+00","2024-03-13 18:15:13.616613+00","00:17:24.252384","25",False,False
35987,"2024-03-14 12:58:04.304094+00","2024-03-14 12:40:28.148391+00","00:17:36.155703","25",False,False
35222,"2024-03-07 15:02:47.325344+00","2024-03-07 14:41:53.768776+00","00:20:53.556568","25",False,False
35581,"2024-03-12 10:29:31.217932+00","2024-03-12 10:07:39.030187+00","00:21:52.187745","25",False,False
35287,"2024-03-07 20:13:41.412006+00","2024-03-07 19:51:26.666396+00","00:22:14.74561","25",False,False
35685,"2024-03-12 19:13:10.51559+00","2024-03-12 18:50:52.968909+00","00:22:17.546681","25",False,False
35381,"2024-03-08 17:54:36.01084+00","2024-03-08 17:31:44.595062+00","00:22:51.415778","25",False,False
35442,"2024-03-11 14:00:53.636088+00","2024-03-11 13:37:05.441807+00","00:23:48.194281","25",False,False
35636,"2024-03-12 14:08:27.785744+00","2024-03-12 13:43:34.294508+00","00:24:53.491236","25",False,False
35134,"2024-03-07 01:24:10.837599+00","2024-03-07 00:58:26.959058+00","00:25:43.878541","25",False,False
35331,"2024-03-08 01:25:00.600699+00","2024-03-08 00:59:13.371655+00","00:25:47.229044","25",False,False
35565,"2024-03-12 05:17:44.114302+00","2024-03-12 04:51:45.179515+00","00:25:58.934787","25",False,False
35924,"2024-03-14 00:24:13.103329+00","2024-03-13 23:58:11.146188+00","00:26:01.957141","25",False,False
35530,"2024-03-12 00:20:19.335968+00","2024-03-11 23:54:09.500915+00","00:26:09.835053","25",False,False
35367,"2024-03-08 06:21:10.522724+00","2024-03-08 05:54:12.337199+00","00:26:58.185525","25",False,False
35721,"2024-03-13 00:20:21.998075+00","2024-03-12 23:52:29.675578+00","00:27:52.322497","25",False,False
35170,"2024-03-07 06:26:57.083204+00","2024-03-07 05:58:36.935022+00","00:28:20.148182","25",False,False
35496,"2024-03-11 19:17:01.822883+00","2024-03-11 18:48:35.020887+00","00:28:26.801996","25",False,False
35957,"2024-03-14 05:24:40.273175+00","2024-03-14 04:54:58.970122+00","00:29:41.303053","25",False,False
35303,"2024-03-07 21:57:36.48037+00","2024-03-07 21:25:06.312513+00","00:32:30.167857","25",NULL,NULL
35511,"2024-03-11 20:59:07.571386+00","2024-03-11 20:23:36.883922+00","00:35:30.687464","25",False,False
35885,"2024-03-13 21:02:40.298367+00","2024-03-13 20:25:38.964457+00","00:37:01.33391","25",False,False
35476,"2024-03-11 17:08:15.34999+00","2024-03-11 16:30:51.048108+00","00:37:24.301882","25",False,False
35740,"2024-03-13 02:36:46.979005+00","2024-03-13 01:58:41.86413+00","00:38:05.114875","25",False,False
35663,"2024-03-12 17:11:06.103677+00","2024-03-12 16:31:26.735016+00","00:39:39.368661","25",False,False
35935,"2024-03-14 02:35:07.38439+00","2024-03-14 01:55:21.534392+00","00:39:45.849998","25",False,False
35856,"2024-03-13 17:10:09.496835+00","2024-03-13 16:29:43.856223+00","00:40:25.640612","25",False,False
35544,"2024-03-12 02:36:54.227192+00","2024-03-12 01:54:30.369891+00","00:42:23.857301","25",False,False
35149,"2024-03-07 03:39:42.245913+00","2024-03-07 02:57:12.773014+00","00:42:29.472899","25",False,False
